molecular_type,mir_135b_tumor,mir_135b_plasma,mir_145_tumor,mir_145_plasma,miR_195b_tumor,miR_195b_plasma,mir_331_tumor,mir_331_plasma
luminal_b_hibrido_her,1.3496,1.2576,0.6657,0.978,1.93,2.5301,1.3254,1.2329
luminal_b_hibrido_her,1.3127,1.1746,0.6659,0.9798,1.9273,2.5291,2.3142,2.1527
luminal_b_hibrido_her,1.3074,1.2667,0.6686,0.9787,1.6543,2.1687,1.2595,1.1669
luminal_b_hibrido_her,1.3051,1.2498,0.6649,0.9784,1.5611,2.0466,1.256,1.1678
luminal_b_hibrido_her,1.305,1.2541,0.6649,0.9795,1.6359,2.1446,2.3309,2.1678
luminal_b_hibrido_her,1.3049,1.2475,0.6649,0.9877,1.5468,2.0278,1.2557,1.168
luminal_b_hibrido_her,1.5017,1.2036,0.6683,0.978,1.6535,2.1677,2.9306,2.2609
luminal_b_hibrido_her,1.5092,1.2489,0.6623,0.9809,1.5872,2.0807,3.0759,2.8514
luminal_b_hibrido_her,1.3532,1.2475,0.6656,0.9432,1.5468,2.0278,2.3026,2.1418
luminal_b_hibrido_her,1.305,1.0723,0.6673,0.9702,1.813,2.3768,1.2558,1.168
luminal_b_hibrido_her,1.3047,1.0659,0.6673,0.9765,1.9663,2.5777,2.3165,2.1548
luminal_b_hibrido_her,1.3049,1.0429,0.6673,0.976,1.9379,2.5404,2.3534,2.1891
luminal_b_hibrido_her,1.305,1.2347,0.6673,0.971,1.6921,2.2182,2.3309,2.1678
luminal_b_hibrido_her,1.3053,1.2452,0.688,0.98,1.5439,2.0239,1.2563,1.1686
luminal_b_hibrido_her,1.3053,1.2044,0.688,0.9801,1.5319,2.0083,1.2563,1.1686
luminal_b_hibrido_her,1.3736,1.2438,0.6882,0.98,1.4197,1.8612,1.3628,1.2676
luminal_b_hibrido_her,1.3053,1.1827,0.6879,0.98,1.5051,1.9731,1.2563,1.1686
luminal_b_hibrido_her,1.3053,1.2572,0.7168,0.9799,1.72,2.2548,1.2563,1.1686
luminal_b_hibrido_her,1.3053,1.2396,0.7169,0.8008,1.537,2.0149,2.3395,2.1715
luminal_b_hibrido_her,1.3053,1.2939,0.7167,0.9801,1.4431,1.8918,2.2867,2.0992
luminal_b_hibrido_her,1.3024,1.2534,0.6699,0.792,1.5541,2.0373,1.2518,1.1643
luminal_b_hibrido_her,1.6024,1.2986,0.6699,0.793,1.6102,2.1109,2.928,2.2571
luminal_b_hibrido_her,1.6773,1.2682,0.6699,0.7948,1.4499,1.9008,3.0486,2.833
luminal_b_hibrido_her,1.6958,0.8159,0.6699,0.7945,1.5048,1.9728,3.1974,2.9268
luminal_b_hibrido_her,1.3024,0.7747,0.6692,0.9044,1.4389,1.8864,2.4518,2.2804
luminal_b_hibrido_her,1.3024,1.2705,0.6647,0.9191,1.6163,2.1189,2.4518,2.2804
luminal_b_hibrido_her,1.3024,1.1868,0.6647,0.9123,1.8983,2.4885,2.4518,2.2804
luminal_b_hibrido_her,1.3024,1.2498,0.6647,0.9048,1.999,2.6206,1.2518,1.1643
luminal_b_hibrido_her,1.3024,1.26,0.6647,0.9238,1.5994,2.0968,1.2518,1.1643
luminal_b_hibrido_her,1.3028,1.1882,0.6663,0.903,1.6925,2.2188,1.2524,1.1649
luminal_b_hibrido_her,1.3028,1.2547,0.6663,0.9044,1.555,2.0386,2.4524,2.2812
luminal_b_hibrido_her,1.3028,1.3182,0.6676,0.905,1.6518,2.1654,2.4524,2.2813
luminal_b_hibrido_her,1.3028,1.0323,0.6675,0.9407,2.1287,2.7907,1.2523,1.1649
luminal_b_hibrido_her,1.3028,1.0322,0.6675,0.9406,1.5085,1.9776,1.2524,1.1649
luminal_b_hibrido_her,1.3028,1.013,0.6676,0.9385,1.454,1.9062,1.2524,1.165
her_super_expresso,1.29,1.166,0.6683,0.8089,1.2485,1.4585,1.7005,1.4668
her_super_expresso,1.2559,1.1675,0.6589,0.7889,1.1874,1.3871,1.252,1.1392
